ABOX;TBOX;POS;POS_size;POS_density;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.1;1000;0.1;75679;0.2260000706;8;3.782000065;6458;1.01699996;5.025000095;37102;2.893000126;9821;16279;0.7860000134;164.7290001;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.1;1000;0.1;75671;0.1949999332;1;3.874000072;2394;1.177999973;5.247999907;37088;2.921000004;4369;6763;0.5920000076;191.5929999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.1;1000;0.1;75678;0.2599999905;1;3.40199995;1985;1.059999943;4.721999884;37116;2.914000034;3800;5785;0.6949999332;202.3559999;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.2;1000;0.2;75679;0.2369999886;66;3.90899992;4067;1.582999945;5.730000019;37102;2.950000048;6926;11009;1.694000006;180.8990002;16
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.2;1000;0.2;75671;0.2380001545;1;4.962999821;2941;1.599999905;6.802000046;37088;3.24000001;5403;8344;0.5709998608;187.2279999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.2;1000;0.2;75678;0.2919998169;1;4.424000025;2554;1.085999966;5.802999973;37116;3.284000158;4741;7295;0.8860001564;185.266;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.3;1000;0.3;75679;0.2290000916;1;3.688999891;14990;1.112999916;5.030999899;37102;2.907999992;17802;32792;0.5469999313;116.5709999;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.3;1000;0.3;75678;0.2960000038;2;3.607999802;11540;1.101000071;5.004999876;37116;3.023000002;15136;26676;0.5710000992;138.243;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.3;1000;0.3;75671;0.2430000305;1;3.380999804;7318;1.123000145;4.746999979;37088;2.88499999;10865;18183;0.5739998817;157.6469998;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.4;1000;0.4;75671;0.2189998627;107;3.621999979;12628;3.742000103;7.582999945;37088;2.898999929;15926;28554;0.757999897;135.967;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.4;1000;0.4;75679;0.2770001888;1;4.013999939;8645;1.5;5.791000128;37102;3.258999825;12365;21010;0.5620000362;150.2030001;0
